0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
101000000010217,ADANI ENERGY SOLUTION LTD,0,1,0.1,INE931S01010,0915-1530|1815-1915:,2026-07-30,,NSE:ADANIENSOL-EQ,10,10,10217,ADANIENSOL,10217,-1.0,XX,101000000010217,,1,2.8
101000000025,ADANI ENTERPRISES LIMITED,0,1,0.1,INE423A01024,0915-1530|1815-1915:,2026-07-30,,NSE:ADANIENT-EQ,10,10,25,ADANIENT,25,-1.0,XX,101000000025,,1,2.9
10100000003563,ADANI GREEN ENERGY LTD,0,1,0.1,INE364U01010,0915-1530|1815-1915:,2026-07-30,,NSE:ADANIGREEN-EQ,10,10,3563,ADANIGREEN,3563,-1.0,XX,10100000003563,,1,2.7
101000000015083,ADANI PORT & SEZ LTD,0,1,0.1,INE742F01042,0915-1530|1815-1915:,2026-07-30,,NSE:ADANIPORTS-EQ,10,10,15083,ADANIPORTS,15083,-1.0,XX,101000000015083,,1,3.3
101000000017388,ADANI POWER LTD,0,1,0.01,INE814H01029,0915-1530|1815-1915:,2026-07-30,,NSE:ADANIPOWER-EQ,10,10,17388,ADANIPOWER,17388,-1.0,XX,101000000017388,,1,2.9
101000000022468,ADDICTIVE LEARNING TECH L,0,500,0.05,INE0RDH01021,0915-1530|1815-1915:,2026-07-30,,NSE:ADDICTIVE-SM,10,10,22468,ADDICTIVE,22468,-1.0,XX,101000000022468,,0,0.0
101000000019761,ADF FOODS LIMITED,0,1,0.05,INE982B01027,0915-1530|1815-1915:,2026-07-30,,NSE:ADFFOODS-EQ,10,10,19761,ADFFOODS,19761,-1.0,XX,101000000019761,,1,2.0
1010000000763156,ADISOFT TECHNOLOGIES LTD,0,800,0.05,INE20PL01012,0915-1530|1815-1915:,2026-07-30,,NSE:ADISOFT-SM,10,10,763156,ADISOFT,763156,-1.0,XX,1010000000763156,,0,0.0
1010000000245,ARCHIDPLY DECOR LIMITED,0,1,0.01,INE0CHO01012,0915-1530|1815-1915:,2026-07-30,,NSE:ADL-EQ,10,10,245,ADL,245,-1.0,XX,1010000000245,,0,0.0
101000000034,ADOR WELDING LTD,0,1,0.1,INE045A01017,0915-1530|1815-1915:,2026-07-30,,NSE:ADOR-EQ,10,10,34,ADOR,34,-1.0,XX,101000000034,,1,2.0
10100000004953,ADROIT INFOTECH LIMITED,0,1,0.01,INE737B01033,0915-1530|1815-1915:,2026-07-30,,NSE:ADROITINFO-EQ,10,10,4953,ADROITINFO,4953,-1.0,XX,10100000004953,,0,0.0
101000000014813,ALLIED DIGITAL SERV. LTD,0,1,0.01,INE102I01027,0915-1530|1815-1915:,2026-07-30,,NSE:ADSL-EQ,10,10,14813,ADSL,14813,-1.0,XX,101000000014813,,1,2.0
1010000000760657,ADVAIT ENRGY TRANSITION L,0,1,0.1,INE0ALI01010,0915-1530|1815-1915:,2026-07-30,,NSE:ADVAIT-EQ,10,10,760657,ADVAIT,760657,-1.0,XX,1010000000760657,,1,2.5
1010000000759402,ADVANCE AGROLIFE LIMITED,0,1,0.01,INE1B0W01010,0915-1530|1815-1915:,2026-07-30,,NSE:ADVANCE-EQ,10,10,759402,ADVANCE,759402,-1.0,XX,1010000000759402,,1,2.0
101000000014745,ADVANI HOT.& RES.(I) LTD,0,1,0.01,INE199C01026,0915-1530|1815-1915:,2026-07-30,,NSE:ADVANIHOTR-EQ,10,10,14745,ADVANIHOTR,14745,-1.0,XX,101000000014745,,0,0.0
1010000000759769,ADVENT HOTELS INTERNATI L,0,1,0.01,INE28GN01010,0915-1530|1815-1915:,2026-07-30,,NSE:ADVENTHTL-EQ,10,10,759769,ADVENTHTL,759769,-1.0,XX,1010000000759769,,1,2.0
101000000018039,ADVANCED ENZYME TECH LTD,0,1,0.05,INE837H01020,0915-1530|1815-1915:,2026-07-30,,NSE:ADVENZYMES-EQ,10,10,18039,ADVENZYMES,18039,-1.0,XX,101000000018039,,1,2.0
101000000040,AEGIS LOGISTICS LIMITED,0,1,0.1,INE208C01025,0915-1530|1815-1915:,2026-07-30,,NSE:AEGISLOG-EQ,10,10,40,AEGISLOG,40,-1.0,XX,101000000040,,1,1.0
1010000000757336,AEGIS VOPAK TERMINALS LTD,0,1,0.01,INE0INX01018,0915-1530|1815-1915:,2026-07-30,,NSE:AEGISVOPAK-EQ,10,10,757336,AEGISVOPAK,757336,-1.0,XX,1010000000757336,,1,2.8
1010000000761330,ARTEMIS ELECTRICALS & P L,0,1,0.01,INE757T01025,0915-1530|1815-1915:,2026-07-30,,NSE:AEPL-EQ,10,10,761330,AEPL,761330,-1.0,XX,1010000000761330,,0,0.0
1010000000760234,AEQUS LIMITED,0,1,0.01,INE947N01017,0915-1530|1815-1915:,2026-07-30,,NSE:AEQUS-EQ,10,10,760234,AEQUS,760234,-1.0,XX,1010000000760234,,1,1.0
101000000012015,AEROFLEX ENTERPRISES LTD,0,1,0.01,INE065D01027,0915-1530|1815-1915:,2026-07-30,,NSE:AEROENTER-EQ,10,10,12015,AEROENTER,12015,-1.0,XX,101000000012015,,1,1.0
101000000018268,AEROFLEX INDUSTRIES LTD,0,1,0.05,INE024001021,0915-1530|1815-1915:,2026-07-30,,NSE:AEROFLEX-EQ,10,10,18268,AEROFLEX,18268,-1.0,XX,101000000018268,,1,1.0
101000000025065,AERON COMPOSITE LIMITED,0,1000,0.05,INE0WL801011,0915-1530|1815-1915:,2026-07-30,,NSE:AERON-SM,10,10,25065,AERON,25065,-1.0,XX,101000000025065,,0,0.0
101000000013689,AEROFLEX NEU LIMITED,0,1,0.01,INE035801013,0915-1530|1815-1915:,2026-07-30,,NSE:AERONEU-EQ,10,10,13689,AERONEU,13689,-1.0,XX,101000000013689,,0,0.0
1010000000761670,AMIR CHAND JAG KUM (E) L,0,1,0.01,INE05TO01019,0915-1530|1815-1915:,2026-07-30,,NSE:AEROPLANE-EQ,10,10,761670,AEROPLANE,761670,-1.0,XX,1010000000761670,,1,1.6
101000000024830,AESTHETIK ENGINEERS LTD,0,1000,0.05,INE0TSF01011,0915-1530|1815-1915:,2026-07-30,,NSE:AESTHETIK-SM,10,10,24830,AESTHETIK,24830,-1.0,XX,101000000024830,,0,0.0
10100000009810,AETHER INDUSTRIES LIMITED,0,1,0.1,INE0BWX01014,0915-1530|1815-1915:,2026-07-30,,NSE:AETHER-EQ,10,10,9810,AETHER,9810,-1.0,XX,10100000009810,,1,3.0
101000000025977,AFCONS INFRASTRUCTURE LTD,0,1,0.05,INE101I01011,0915-1530|1815-1915:,2026-07-30,,NSE:AFCONS-EQ,10,10,25977,AFCONS,25977,-1.0,XX,101000000025977,,1,3.2
101000000011343,AFFLE 3I LIMITED,0,1,0.1,INE00WC01027,0915-1530|1815-1915:,2026-07-30,,NSE:AFFLE-EQ,10,10,11343,AFFLE,11343,-1.0,XX,101000000011343,,1,3.1
101000000025857,AFFORD ROBO & AUTO LTD,0,1,0.01,INE692Z01013,0915-1530|1815-1915:,2026-07-30,,NSE:AFFORDABLE-BE,10,10,25857,AFFORDABLE,25857,-1.0,XX,101000000025857,,0,0.0
101000000024159,AKME FINTRADE (INDIA) LTD,0,1,0.01,INE916Y01027,0915-1530|1815-1915:,2026-07-30,,NSE:AFIL-EQ,10,10,24159,AFIL,24159,-1.0,XX,101000000024159,,0,0.0
101000000013288,ABANS FINANCIAL SRVCS LTD,0,1,0.01,INE00ZE01026,0915-1530|1815-1915:,2026-07-30,,NSE:AFSL-EQ,10,10,13288,AFSL,13288,-1.0,XX,101000000013288,,0,0.0
10100000003389,AGARWAL INDS CORP LTD.,0,1,0.05,INE204E01012,0915-1530|1815-1915:,2026-07-30,,NSE:AGARIND-EQ,10,10,3389,AGARIND,3389,-1.0,XX,10100000003389,,1,2.0
101000000029452,DR AGARWALS HEALTH CARE L,0,1,0.05,INE943P01029,0915-1530|1815-1915:,2026-07-30,,NSE:AGARWALEYE-EQ,10,10,29452,AGARWALEYE,29452,-1.0,XX,101000000029452,,1,2.0
101000000014263,AGARWAL FLOAT GLASS I LTD,0,1500,0.05,INE0MLA01012,0915-1530|1815-1915:,2026-07-30,,NSE:AGARWALFT-SM,10,10,14263,AGARWALFT,14263,-1.0,XX,101000000014263,,0,0.0
